,year,semester,day,month,Max Temp,Mean Temp,Min Temp,Max Hum,Mean Hum,Min Hum,Max Vis Km,Mean Vis Km,Min Vis Km,Max Wind Km/h,Mean Wind Kmh
0,10.9,0.0,15.5,3.5,19.8,13.5,7.7,87.6,65.6,44.9,8.5,8.1,6.8,18.1,7.0
1,10.9,0.0,16.0,9.6,23.8,17.7,12.0,80.5,59.6,41.0,9.4,8.8,7.4,20.5,8.0
2,10.9,0.0,15.5,3.5,18.5,12.4,6.8,87.8,63.7,41.6,8.9,8.5,7.2,20.2,8.7
3,10.9,0.0,16.0,9.6,23.7,16.7,10.1,78.7,56.7,34.3,8.2,8.0,7.2,19.1,8.2
4,11.0,0.0,15.5,3.5,18.6,12.0,5.8,84.0,57.4,32.8,8.5,8.3,7.5,23.0,9.5
5,11.0,0.0,16.0,9.6,22.4,16.5,11.1,80.4,59.7,38.4,9.0,8.6,7.7,23.1,9.1
6,11.0,0.0,9.1,1.9,10.8,6.9,3.3,49.2,37.0,22.8,4.5,4.3,3.7,9.0,3.0
7,11.0,0.0,13.9,8.8,19.5,13.7,8.7,73.9,53.3,33.8,7.4,7.1,6.0,20.4,8.9
8,11.0,0.0,15.5,3.5,17.6,11.9,6.7,84.3,61.6,39.9,8.6,8.2,6.8,23.9,10.3
9,11.0,0.0,16.0,9.6,21.8,15.2,9.0,78.5,56.8,35.4,8.1,7.6,6.7,20.1,7.8
10,11.0,0.0,15.5,3.5,18.3,12.0,6.1,86.4,62.3,39.5,8.4,7.9,6.6,20.2,8.0
11,11.0,0.0,16.0,9.6,22.1,16.4,11.0,83.2,62.3,41.0,9.4,8.8,7.2,21.7,8.9
12,11.0,0.0,15.5,3.5,18.6,12.6,6.9,84.6,60.6,37.7,8.7,8.5,7.4,22.7,9.8
13,11.0,0.0,16.0,9.6,22.7,16.7,11.2,78.6,58.4,38.4,8.9,8.6,7.3,21.1,8.3
14,11.0,0.0,12.8,3.3,15.3,10.3,5.6,71.0,51.4,31.8,7.5,7.2,6.3,17.2,7.2
15,11.0,0.0,16.0,9.6,23.5,16.8,10.5,77.7,55.3,33.5,7.7,7.3,6.4,21.7,8.6
16,11.0,0.0,15.5,3.5,19.3,12.3,5.9,75.7,52.0,29.2,7.6,7.4,6.8,24.2,10.3
17,11.0,0.0,16.0,9.6,23.1,16.6,10.4,72.3,52.4,32.9,7.7,7.3,6.4,21.1,9.3
18,11.0,0.0,15.5,3.5,19.0,12.5,6.6,82.0,58.2,35.4,8.7,8.4,7.1,22.3,9.6
19,11.0,0.0,16.0,9.6,23.9,17.5,11.8,76.1,55.7,35.1,7.5,7.2,6.1,21.7,9.5
20,11.0,0.0,15.5,3.5,17.2,11.5,6.1,86.9,64.3,40.9,9.1,8.5,7.1,22.5,9.6
21,11.0,0.0,16.0,9.6,22.7,15.6,8.8,76.3,53.1,31.0,7.2,6.9,6.4,20.1,8.6
22,11.0,0.0,15.5,3.5,18.6,12.4,6.6,87.5,63.0,38.5,8.7,8.3,7.0,22.9,9.6
23,11.0,0.0,16.0,9.6,22.1,15.7,9.6,77.4,55.1,34.2,8.1,7.9,7.1,22.2,9.1
24,11.0,0.0,15.5,3.5,19.1,12.4,6.3,80.2,55.3,32.5,7.4,7.1,6.1,23.4,9.9
25,11.0,0.0,16.0,9.6,24.2,17.8,11.7,74.7,52.8,32.4,7.3,6.9,5.9,22.8,9.6
26,11.0,0.0,15.5,3.5,17.0,11.6,6.7,86.8,64.5,42.1,8.9,8.4,7.1,24.1,10.2
27,11.0,0.0,16.0,9.6,23.6,17.2,11.3,79.8,56.6,34.0,7.1,6.7,5.8,21.0,8.9
28,11.0,0.0,15.5,3.5,19.4,13.3,7.4,88.2,64.0,38.5,8.1,7.6,6.4,20.2,8.5
29,11.0,0.0,16.0,9.6,24.8,17.6,11.0,75.7,53.4,31.9,6.5,6.3,5.6,20.8,8.5
30,11.0,0.0,15.5,3.5,19.2,12.1,5.4,77.3,52.4,27.1,16.9,11.0,8.9,24.4,10.4
31,11.0,0.0,16.0,9.6,23.3,16.9,10.7,76.2,55.2,31.6,29.4,17.8,14.4,22.4,9.4
32,11.0,0.0,15.5,3.5,16.9,11.3,5.6,86.5,62.7,34.8,29.6,14.0,10.0,25.9,11.5
33,11.0,0.0,16.0,9.6,25.0,17.8,10.8,77.5,53.0,25.0,31.0,19.7,14.0,22.9,9.0
34,11.0,0.0,15.5,3.5,19.7,13.7,7.7,83.0,55.6,26.6,30.6,19.7,10.1,26.1,11.8
35,11.0,0.0,16.0,9.6,24.5,17.9,11.4,80.3,55.5,26.8,31.0,21.7,12.4,22.5,9.4
36,11.0,0.0,15.5,3.5,19.9,13.2,6.4,81.5,52.8,23.7,30.5,21.4,12.9,23.4,9.9
37,11.0,0.0,16.0,9.6,25.3,18.4,11.6,78.2,53.1,24.7,30.2,21.0,11.9,20.2,8.6
