year,semester,Max Temp,Mean Temp,Min Temp,Max Hum,Mean Hum,Min Hum,Max Vis Km,Mean Vis Km,Min Vis Km,Max Wind Km/h,Mean Wind Kmh,Poblacion
1997,1,19.85,13.54,7.74,87.59,65.57,44.87,8.5,8.1,6.83,18.09,6.99,5.220.731
1997,2,23.83,17.68,11.97,80.48,59.65,40.99,9.44,8.81,7.41,20.48,7.99,5.242.444
1998,1,18.51,12.38,6.79,87.76,63.69,41.56,8.85,8.5,7.19,20.16,8.68,5.262.869
1998,2,23.7,16.73,10.14,78.71,56.66,34.26,8.21,7.96,7.24,19.12,8.24,5.284.618
1999,1,18.6,11.97,5.79,84.02,57.45,32.78,8.47,8.27,7.46,22.99,9.46,5.305.592
1999,2,22.43,16.53,11.07,80.42,59.67,38.44,9.01,8.59,7.69,23.13,9.06,5.329.606
2000,1,10.82,6.94,3.33,49.16,37.05,22.76,4.46,4.28,3.71,9.0,3.0,5.353.391
2000,2,19.48,13.7,8.66,73.88,53.33,33.76,7.45,7.09,6.0,20.43,8.87,5.379.087
2001,1,17.61,11.91,6.66,84.26,61.61,39.87,8.6,8.2,6.77,23.87,10.3,5.404.959
2001,2,21.79,15.16,9.02,78.48,56.76,35.42,8.15,7.64,6.66,20.1,7.76,5.478.405
2002,1,18.26,11.98,6.12,86.37,62.35,39.51,8.43,7.87,6.59,20.19,8.02,5.561.622
2002,2,22.09,16.36,10.98,83.16,62.27,40.96,9.36,8.79,7.21,21.69,8.87,5.638.827
2003,1,18.63,12.56,6.92,84.59,60.63,37.7,8.75,8.48,7.42,22.67,9.75,5.708.433
2003,2,22.72,16.75,11.16,78.56,58.37,38.39,8.94,8.58,7.34,21.1,8.32,5.766.566
2004,1,15.31,10.3,5.61,71.04,51.4,31.8,7.51,7.24,6.3,17.24,7.22,5.807.962
2004,2,23.46,16.83,10.54,77.68,55.29,33.46,7.66,7.34,6.42,21.7,8.64,5.866.186
2005,1,19.32,12.35,5.86,75.72,51.97,29.19,7.57,7.39,6.8,24.2,10.27,5.912.335
2005,2,23.07,16.59,10.45,72.33,52.39,32.91,7.68,7.35,6.39,21.13,9.34,5.953.604
2006,1,18.95,12.53,6.58,82.04,58.22,35.4,8.73,8.39,7.13,22.35,9.56,6.003.925
2006,2,23.87,17.53,11.78,76.05,55.65,35.09,7.54,7.18,6.1,21.7,9.5,6.074.984
2007,1,17.19,11.45,6.1,86.9,64.32,40.85,9.1,8.5,7.1,22.51,9.58,6.152.759
2007,2,22.73,15.58,8.81,76.32,53.11,30.96,7.2,6.93,6.43,20.15,8.57,6.226.195
2008,1,18.6,12.44,6.63,87.52,62.97,38.46,8.66,8.34,7.04,22.89,9.56,6.283.747
2008,2,22.13,15.72,9.63,77.42,55.06,34.2,8.15,7.92,7.11,22.24,9.08,6.327.594
2009,1,19.09,12.44,6.25,80.2,55.29,32.48,7.43,7.08,6.09,23.45,9.9,6.354.091
2009,2,24.21,17.79,11.71,74.72,52.77,32.38,7.31,6.94,5.93,22.8,9.59,6.373.532
2010,1,17.0,11.59,6.73,86.83,64.48,42.09,8.93,8.39,7.06,24.09,10.2,6.384.358
2010,2,23.57,17.17,11.28,79.81,56.57,33.98,7.06,6.69,5.75,20.96,8.88,6.394.239
2011,1,19.39,13.28,7.44,88.22,64.04,38.55,8.07,7.59,6.37,20.22,8.48,6.409.093
2011,2,24.77,17.63,11.0,75.66,53.41,31.92,6.54,6.25,5.6,20.76,8.52,6.425.573
2012,1,19.19,12.14,5.42,77.34,52.36,27.07,16.87,10.99,8.87,24.36,10.41,6.426.229
2012,2,23.29,16.94,10.7,76.21,55.24,31.62,29.4,17.82,14.43,22.41,9.37,6.414.709
2013,1,16.93,11.27,5.61,86.45,62.69,34.79,29.65,14.01,9.99,25.91,11.53,6.392.713
2013,2,24.95,17.81,10.78,77.47,52.95,24.99,31.01,19.65,13.97,22.85,9.02,6.378.297
2014,1,19.73,13.67,7.67,82.96,55.59,26.61,30.6,19.74,10.13,26.12,11.75,6.376.749
2014,2,24.49,17.95,11.44,80.31,55.53,26.78,30.99,21.67,12.41,22.47,9.36,6.385.298
2015,1,19.94,13.16,6.42,81.47,52.77,23.74,30.49,21.36,12.85,23.41,9.88,6.401.162
2015,2,25.33,18.45,11.59,78.22,53.08,24.73,30.24,21.01,11.95,20.21,8.62,6.424.275
